Module,Title,Type,Link
CMF ORL,ITEM 295 - TUMEURS ORL,PDF,https://drive.google.com/file/d/1elQ7lrSLI52aRvHrtNzLonRDhZqhUkxy/view?usp=drivesdk
CMF ORL,ITEM 344 - INFECTION DENTAIRE,PDF,https://drive.google.com/file/d/1KXy08Q1atYeyi9dWMz_DqzLnV930exQ1/view?usp=drivesdk
CMF ORL,ITEM 304 - TUMEUR MAXILLOMANDIBULAIRE,PDF,https://drive.google.com/file/d/1R-n76JbWk0vBz1yCPD9rq0OFPrFl6REF/view?usp=drivesdk
CMF ORL,ITEM 147 - OTITE,PDF,https://drive.google.com/file/d/1a33hAlrR5oMYIES8wW9fwW7e6Jljm6E8/view?usp=drivesdk
CMF ORL,ITEM 270 - DYSPHAGIE_0,PDF,https://drive.google.com/file/d/1VcNgKqhj6AK-N7T5tw3wuKVkmkyH5HHJ/view?usp=drivesdk
CMF ORL,ITEM 199 - DYSPNEE LARYNGEE,PDF,https://drive.google.com/file/d/19Ng_ES8mDlqJq5qVT2y6FffLoLtrnsI4/view?usp=drivesdk
CMF ORL,ITEM 146 - ANGINE - RHINOPHARYNGITE,PDF,https://drive.google.com/file/d/1PBqDBkAliE3HfeDK-hOG0YyUoiK6kiVa/view?usp=drivesdk
CMF ORL,ITEM 101 - VERTIGE,PDF,https://drive.google.com/file/d/1GP3Tfq9qinUTl5V3djy0y75cZLqccqzk/view?usp=drivesdk
CMF ORL,ITEM 145 - INFECTION NASOSINUSIENNE,PDF,https://drive.google.com/file/d/15Z7DLFornjo3aiRE7w-_LPdW7qVimSzz/view?usp=drivesdk
CMF ORL,ITEM 127 - PRESBYACOUSIE,PDF,https://drive.google.com/file/d/1k5AVuYJtWJqCZ-cHu2q4YO7Rp0A3nG_R/view?usp=drivesdk
CMF ORL,ITEM 115 - HANDICAP AUDITIF,PDF,https://drive.google.com/file/d/1nK5qILwORmQgsFItFtfK5DaA60Nxi8Qn/view?usp=drivesdk
